longitud,latitud,nombre
-6.37174,39.473955,1
-6.371858,39.47381,1A
-6.372056,39.473609,2
-6.371952,39.473572,3
-6.369003,39.474802,1
-6.368858,39.474193,1
-6.36873,39.4746,11
-6.368881,39.474149,12
-6.36878,39.474313,13
-6.368917,39.474085,14
-6.369046,39.473702,15
-6.369081,39.473629,17
-6.369043,39.474812,2
-6.368884,39.474699,2A
-6.368882,39.474728,3
-6.368842,39.474693,5
-6.368771,39.474367,6
-6.368831,39.474676,7
-6.368817,39.474269,8
-6.368775,39.47463,9
-6.376593,39.479443,1
-6.376881,39.47961,11
-6.376715,39.479647,2
-6.376758,39.479652,2A
-6.376806,39.479658,2B
-6.376876,39.479667,4
-6.376847,39.479663,4A
-6.376693,39.479538,5
-6.376983,39.479679,6
-6.37674,39.479582,7
-6.377077,39.479692,8
-6.376802,39.479601,9
-6.376329,39.457121,1
-6.376608,39.457067,11
-6.37662,39.457126,13
-6.376376,39.457116,3
-6.376422,39.45711,5
-6.376491,39.457101,7
-6.376552,39.457091,9
-6.374565,39.462625,2
-6.374829,39.462612,4
-6.37389,39.480416,1
-6.374548,39.479842,2
-6.374423,39.479951,4
-6.3743,39.480059,6
-6.374047,39.480277,8
-6.375416,39.47491,1
-6.375926,39.47422,12
-6.376154,39.473925,14
-6.376221,39.473838,16
-6.376426,39.473711,18
-6.376425,39.473563,2
-6.376501,39.473459,22
-6.375912,39.473837,23
-6.376022,39.473754,25
-6.376777,39.47309,26
-6.376173,39.473648,27
-6.375467,39.474748,3
-6.375756,39.474461,4
-6.375608,39.474486,5
-6.387175,39.446611,1
-6.387209,39.446639,2
-6.387242,39.446558,3
-6.387272,39.446588,4
-6.384273,39.464863,2
-6.38465,39.465033,4
-6.367851,39.459743,1
-6.367963,39.459757,12
-6.368164,39.459777,14
-6.368371,39.459802,16
-6.368599,39.459828,18
-6.367511,39.459702,2
-6.368799,39.459852,2
-6.367609,39.459714,4
-6.367699,39.459727,6
-6.367756,39.459731,8
-6.370762,39.475159,1
-6.370091,39.475421,11
-6.370706,39.475239,3
-6.370673,39.47528,5
-6.370118,39.475434,9
-6.376367,39.468705,2
-6.376677,39.468677,4
-6.369766,39.474616,1
-6.369244,39.474267,11
-6.369209,39.474222,13
-6.369144,39.474178,13A
-6.369063,39.47413,15
-6.369007,39.474097,19
-6.369689,39.474529,2
-6.369405,39.474428,5
-6.369268,39.474351,7
-6.369252,39.474307,9
-6.365626,39.47523,1
-6.36498,39.474653,1
-6.365134,39.474834,11
-6.364904,39.474613,12
-6.36507,39.474799,13
-6.364823,39.474569,14
-6.365003,39.474763,15
-6.364904,39.474707,17
-6.364821,39.474663,19
-6.365727,39.475175,2
-6.364771,39.474636,21
-6.364719,39.474609,23
-6.365563,39.475176,3
-6.3656,39.475089,4
-6.365522,39.475143,5
-6.365289,39.474818,6
-6.365323,39.474969,7
-6.365202,39.474777,8
-6.36524,39.474903,9
-6.371625,39.470938,1
-6.371663,39.470919,1A
-6.371715,39.470868,3
-6.371824,39.470887,4
-6.372238,39.470753,6
-6.371764,39.470836,7
-6.372502,39.470724,8
-6.372054,39.470769,9
-6.37133,39.47288,1
-6.371476,39.472935,2
-6.371443,39.472658,3
-6.371426,39.472756,4
-6.371467,39.472491,5
-6.371515,39.472575,6
-6.371592,39.472351,7
-6.37166,39.472248,8
-6.375795,39.458235,1
-6.376063,39.458195,11
-6.376121,39.458188,13
-6.376176,39.458179,15
-6.376228,39.458171,17
-6.376287,39.458165,19
-6.376439,39.458412,2
-6.376591,39.458271,21
-6.37665,39.458263,23
-6.376698,39.458258,25
-6.376751,39.458249,27
-6.376791,39.458244,29
-6.375852,39.458225,3
-6.375903,39.458218,5
-6.375963,39.458209,7
-6.376013,39.458203,9
-6.371442,39.475732,1
-6.371538,39.475807,1
-6.372089,39.476105,11
-6.371643,39.47587,12
-6.371295,39.475639,1B
-6.371298,39.47565,2
-6.371581,39.475819,3
-6.371358,39.475692,4
